step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
182,CASH_IN,100328.7,C197678862,3389602.37,3489931.07,C386191921,219735.14,119406.44,0,0
210,PAYMENT,11660.99,C2009511954,94054.0,82393.01,M564284134,0.0,0.0,0,0
403,CASH_IN,230751.3,C1132312861,23117012.1,23347763.39,C1025694734,951294.81,720543.51,0,0
328,PAYMENT,17833.6,C1191709365,0.0,0.0,M293024801,0.0,0.0,0,0
563,CASH_OUT,246476.67,C342438889,0.0,0.0,C2087488957,4226850.16,4473326.82,0,0
276,PAYMENT,7383.56,C48976647,104101.0,96717.44,M2101902040,0.0,0.0,0,0
356,CASH_OUT,171545.04,C175024972,21858.0,0.0,C1048626294,0.0,171545.04,0,0
258,CASH_OUT,94295.16,C1305699343,294254.16,199958.99,C1539061922,2390028.04,2484323.21,0,0
258,PAYMENT,11449.07,C1784670113,11304.0,0.0,M126743765,0.0,0.0,0,0
399,CASH_OUT,466080.27,C1503938698,2753.0,0.0,C1950467590,0.0,466080.27,0,0
163,CASH_OUT,138265.04,C1489332669,10501.0,0.0,C1509817977,0.0,138265.04,0,0
350,CASH_OUT,710432.12,C1566215652,28.0,0.0,C1419841767,4602174.52,5312606.64,0,0
136,CASH_IN,301312.13,C1538248679,921.0,302233.13,C1668520032,0.0,0.0,0,0
355,CASH_IN,65548.73,C805079837,1400235.73,1465784.46,C211524468,208489.99,142941.26,0,0
234,PAYMENT,21378.82,C1466901982,22999.45,1620.63,M646023997,0.0,0.0,0,0
354,PAYMENT,11295.75,C599285894,106711.0,95415.25,M1278253438,0.0,0.0,0,0
163,CASH_IN,794893.17,C564658661,20232.0,815125.17,C1270447066,0.0,0.0,0,0
307,CASH_IN,163621.02,C553433736,3728057.14,3891678.16,C5492658,657340.54,493719.52,0,0
185,PAYMENT,6408.36,C1953344757,24525.0,18116.64,M642709760,0.0,0.0,0,0
13,CASH_OUT,25327.02,C1075159832,0.0,0.0,C1341522638,36396.57,61723.6,0,0
